Date,avg_goal_diff,Year,Half
2008-03-01,0.45829145728643217,2008,1
2008-09-01,0.4058885383806519,2008,2
2009-03-01,0.3343527013251784,2009,1
2009-09-01,0.3661504424778761,2009,2
2010-03-01,0.48443579766536965,2010,1
2010-09-01,0.3958103638368247,2010,2
2011-03-01,0.3648780487804878,2011,1
2011-09-01,0.4547738693467337,2011,2
2012-03-01,0.36941964285714285,2012,1
2012-09-01,0.3674321503131524,2012,2
2013-03-01,0.3932238193018481,2013,1
2013-09-01,0.40334378265412746,2013,2
2014-03-01,0.4024975984630163,2014,1
2014-09-01,0.34908700322234154,2014,2
2015-03-01,0.38461538461538464,2015,1
2015-09-01,0.3315508021390374,2015,2
2016-03-01,0.3971915747241725,2016,1
2016-09-01,0.40683572216097025,2016,2
2017-03-01,0.43609756097560975,2017,1
2017-09-01,0.29162357807652534,2017,2
2018-03-01,0.34922279792746114,2018,1
2018-09-01,0.30842105263157893,2018,2
2019-03-01,0.39755351681957185,2019,1
2019-09-01,0.4012671594508976,2019,2
2020-03-01,0.2540192926045016,2020,1
2020-09-01,0.13751169317118803,2020,2
2021-03-01,0.17955555555555555,2021,1
2021-09-01,0.2611464968152866,2021,2
2022-03-01,0.3090909090909091,2022,1
2022-09-01,0.22163588390501318,2022,2
2023-03-01,0.28693790149892934,2023,1
2023-09-01,0.32595325953259535,2023,2
2024-03-01,0.21366459627329193,2024,1
2024-09-01,0.3198031980319803,2024,2
2025-03-01,0.24008350730688935,2025,1
