Year,Month,Division,rolling_avg_goal_diff
2008,1,E1,0.5106382978723404
2008,2,E1,0.4880777696258254
2008,3,E1,0.4676616025147779
2008,4,E1,0.35300439211288664
2008,5,E1,0.6978319783197833
2008,8,E1,0.7152777777777778
2008,9,E1,0.7708333333333334
2008,10,E1,0.48194444444444445
2008,11,E1,0.3597809076682316
2008,12,E1,0.38565609792698347
2009,1,E1,0.2708412831121687
2009,2,E1,0.3037954181789798
2009,3,E1,0.2553507834757835
2009,4,E1,0.22373110409491007
2009,5,E1,0.458773839137645
2009,8,E1,0.43134328358208945
2009,9,E1,0.4231638418079095
2009,10,E1,0.29576920579258387
2009,11,E1,0.4451844104709464
2009,12,E1,0.4593943060367742
2010,1,E1,0.38200858029499396
2010,2,E1,0.4109188842238301
2010,3,E1,0.5150085614842391
2010,4,E1,0.6258735793260012
2010,5,E1,0.33088140405213573
2010,8,E1,0.35052910052910047
2010,9,E1,0.33888888888888885
2010,10,E1,0.39999999999999997
2010,11,E1,0.2555555555555555
2010,12,E1,0.2752525252525252
2011,1,E1,0.4363636363636363
2011,2,E1,0.373030303030303
2011,3,E1,0.19735849056603771
2011,4,E1,0.18942198262952972
2011,5,E1,0.3932315064390535
2011,8,E1,0.35485606672047343
2011,9,E1,0.3521542767846409
2011,10,E1,0.3616780863084505
2011,11,E1,0.43074101247248714
2011,12,E1,0.4413793103448276
2012,1,E1,0.2691570881226053
2012,2,E1,0.2808641975308641
2012,3,E1,0.13251254917921576
2012,4,E1,0.1549630819037211
2012,8,E1,0.3833581436321161
2012,9,E1,0.4150431253170978
2012,10,E1,0.39259259259259255
2012,11,E1,0.1599695585996955
2012,12,E1,0.17277149096684527
2013,1,E1,0.21745748130500953
2013,2,E1,0.2908212560386473
2013,3,E1,0.3099865367862516
2013,4,E1,0.36641165755919847
2013,5,E1,0.46085610200364285
2013,8,E1,0.4523352165725046
2013,9,E1,0.4652902993148214
2013,10,E1,0.41667918820371036
2013,11,E1,0.3501773049645389
2013,12,E1,0.29509132420091316
2014,1,E1,0.3537024353120242
2014,2,E1,0.40336176445248556
2014,3,E1,0.4028782833888272
2014,4,E1,0.1731813136918575
2014,5,E1,-0.07786690433749262
2014,8,E1,-0.0030303030303031053
2014,9,E1,0.04853801169590635
2014,10,E1,0.3070850202429149
2014,11,E1,0.3154654345555326
2014,12,E1,0.2891496450818484
2015,1,E1,0.3431026365348399
2015,2,E1,0.3144561815336463
2015,3,E1,0.3200117370892019
2015,4,E1,0.22478723176195678
2015,5,E1,0.08394216133942156
2015,8,E1,0.039780202770683344
2015,9,E1,0.10538452669203273
2015,10,E1,0.21094008224758828
2015,11,E1,0.2773242630385487
2015,12,E1,0.3766823161189358
2016,1,E1,0.33401984232438653
2016,2,E1,0.36179762010216426
2016,3,E1,0.2940041928721174
2016,4,E1,0.30954248366013065
2016,5,E1,0.22224089635854338
2016,8,E1,0.30779645191409893
2016,9,E1,0.24047619047619048
2016,10,E1,0.36666666666666664
2016,11,E1,0.11481481481481477
2016,12,E1,0.24179894179894176
2017,1,E1,0.2682695300342359
2017,2,E1,0.42240896358543417
2017,3,E1,0.3954248366013072
2017,4,E1,0.4372082166199813
2017,5,E1,0.38492063492063494
2017,8,E1,0.42936507936507934
2017,9,E1,0.27391304347826084
2017,10,E1,0.23963408366738617
2017,11,E1,0.18023237426567676
2017,12,E1,0.2100230344911196
2018,1,E1,0.19583863732799903
2018,2,E1,0.18165200428890696
2018,3,E1,0.1568560218658059
2018,4,E1,0.26848528447146025
2018,5,E1,0.6309625158011506
